Medicine_ID,Medicine_Name,Generic_Name,Category,Dosage,Manufacturer,Batch_Number,Stock_Quantity,Minimum_Stock,Expiry_Date,Purchase_Date,Unit_Price,Supplier,Storage_Location,Status
MED017,ORS,ORS,Tablet,500 mg,Abbott,B8400,202,30,2028-01-29,2025-11-29,478.04,LifeCare,Cold Storage,Active
MED018,Vitamin C,Vitamin C,Ointment,250 mg,Lupin,B1044,56,50,2026-05-21,2025-02-20,423.01,Prime Medics,A2,Active
MED019,Dolo,Dolo,Syrup,500 mg,Sun Pharma,B9898,150,30,2026-06-01,2025-08-14,389.75,Prime Medics,B1,Active
MED020,Azithromycin,Azithromycin,Injection,10 ml,Alkem,B1207,304,20,2027-05-17,2025-07-24,204.19,LifeCare,C1,Active
MED021,ORS,ORS,Syrup,10 ml,Alkem,B2045,257,50,2026-11-23,2025-06-07,357.59,LifeCare,B2,Active
MED022,Paracetamol,Paracetamol,Capsule,500 mg,Torrent,B7532,489,50,2026-04-17,2025-09-08,440.91,ABC Pharma,C1,Active
MED023,Losartan,Losartan,Injection,5 ml,Cipla,B6071,350,20,2027-12-31,2025-03-27,239.94,MediSupply,A1,Active
MED024,Cefixime,Cefixime,Syrup,100 IU,Mankind,B9288,438,30,2026-03-07,2025-09-01,434.85,HealthPlus,A1,Active
MED025,Azithromycin,Azithromycin,Tablet,500 mg,Lupin,B8032,335,50,2027-02-04,2025-01-18,143.48,LifeCare,C2,Active
MED026,Losartan,Losartan,Capsule,10 ml,Dr. Reddy's,B6740,45,20,2027-09-20,2025-08-23,184.93,MediSupply,A2,Active
MED027,Paracetamol,Paracetamol,Capsule,500 mg,Abbott,B8777,106,20,2027-01-29,2025-08-27,440.26,HealthPlus,B2,Active
MED028,ORS,ORS,Capsule,100 IU,Dr. Reddy's,B4122,230,50,2026-04-23,2025-07-18,69.77,HealthPlus,A2,Active
MED029,Cefixime,Cefixime,Ointment,5 ml,Dr. Reddy's,B1018,221,30,2027-02-17,2025-07-07,291.42,MediSupply,B1,Active
MED030,Ibuprofen,Ibuprofen,Tablet,650 mg,Dr. Reddy's,B3619,368,20,2026-11-30,2025-03-26,328.63,ABC Pharma,B2,Active
MED031,Amlodipine,Amlodipine,Syrup,250 mg,Mankind,B9116,360,30,2027-11-21,2025-08-22,101.8,MediSupply,C2,Active
MED032,Ibuprofen,Ibuprofen,Injection,250 mg,Dr. Reddy's,B3248,441,30,2026-02-11,2025-02-15,24.06,HealthPlus,Cold Storage,Active
MED033,Cetirizine,Cetirizine,Capsule,250 mg,Cipla,B4862,200,20,2027-11-29,2025-07-22,249.59,HealthPlus,B1,Active
MED034,Levocetirizine,Levocetirizine,Capsule,500 mg,Lupin,B1948,42,20,2026-02-09,2025-07-31,278.61,LifeCare,A1,Active
MED035,Diclofenac,Diclofenac,Tablet,250 mg,Dr. Reddy's,B7183,435,30,2027-04-01,2025-05-24,397.53,Prime Medics,B2,Active
MED036,Amlodipine,Amlodipine,Injection,100 IU,Mankind,B9578,69,50,2027-05-06,2025-04-12,225.11,ABC Pharma,C2,Active
MED037,Azithromycin,Azithromycin,Syrup,10 ml,Sun Pharma,B8219,300,20,2026-09-29,2025-07-23,234.34,ABC Pharma,B2,Active
MED038,Omeprazole,Omeprazole,Capsule,5 ml,Alkem,B3890,74,50,2026-10-14,2025-11-18,286.87,MediSupply,B1,Active
MED039,Amoxicillin,Amoxicillin,Capsule,250 mg,Mankind,B5465,204,50,2027-10-10,2025-09-25,52.7,LifeCare,Cold Storage,Active
MED040,Insulin,Insulin,Capsule,10 ml,Torrent,B4064,26,20,2026-03-28,2025-05-25,338.07,LifeCare,C2,Active
MED041,Cefixime,Cefixime,Injection,10 ml,Cipla,B2318,235,50,2026-02-10,2025-02-08,438.7,LifeCare,A1,Active
MED042,Cetirizine,Cetirizine,Capsule,5 ml,Torrent,B9602,183,20,2027-01-16,2025-09-03,99.94,ABC Pharma,C1,Active
MED043,Ibuprofen,Ibuprofen,Injection,5 ml,Cipla,B4912,435,20,2027-07-22,2025-08-22,352.18,Prime Medics,C1,Active
MED044,Diclofenac,Diclofenac,Ointment,10 ml,Mankind,B9923,362,20,2027-07-23,2025-02-13,8.75,MediSupply,B1,Active
MED045,Levocetirizine,Levocetirizine,Injection,10 ml,Mankind,B7109,347,20,2026-11-05,2025-03-26,20.03,MediSupply,C1,Active
MED046,Omeprazole,Omeprazole,Injection,500 mg,Dr. Reddy's,B8028,411,20,2028-01-13,2025-10-20,390.1,MediSupply,C1,Active
MED047,Omeprazole,Omeprazole,Injection,250 mg,Sun Pharma,B8364,32,50,2027-04-21,2025-03-18,439.5,Prime Medics,C2,Active
MED048,Cetirizine,Cetirizine,Capsule,5 ml,Abbott,B3167,399,20,2026-08-13,2025-09-07,88.56,HealthPlus,B2,Active
MED049,Pantoprazole,Pantoprazole,Injection,10 ml,Sun Pharma,B2987,52,20,2027-10-09,2025-11-16,251.1,HealthPlus,A1,Active
MED050,Ibuprofen,Ibuprofen,Capsule,5 ml,Sun Pharma,B8600,268,20,2028-03-20,2025-03-07,326.63,LifeCare,Cold Storage,Active
MED051,Omeprazole,Omeprazole,Tablet,250 mg,Torrent,B9519,181,20,2027-01-19,2025-08-31,175.92,LifeCare,C1,Active
MED052,Losartan,Losartan,Tablet,10 ml,Abbott,B6984,456,20,2026-08-11,2025-06-04,272.36,LifeCare,B1,Active
MED053,Diclofenac,Diclofenac,Injection,10 ml,Torrent,B9297,330,30,2027-10-24,2025-07-18,145.9,Prime Medics,B2,Active
MED054,Pantoprazole,Pantoprazole,Ointment,250 mg,Dr. Reddy's,B2525,134,50,2027-12-03,2025-09-28,494.23,MediSupply,Cold Storage,Active
MED055,Salbutamol,Salbutamol,Capsule,10 ml,Torrent,B8362,465,50,2026-07-27,2025-11-23,58.43,Prime Medics,C2,Active
MED056,Atorvastatin,Atorvastatin,Ointment,100 IU,Abbott,B5411,50,20,2027-06-03,2025-03-17,89.89,ABC Pharma,B2,Active
MED057,Amlodipine,Amlodipine,Capsule,500 mg,Dr. Reddy's,B9209,381,50,2026-04-06,2025-05-20,359.34,HealthPlus,A2,Active
MED058,Amlodipine,Amlodipine,Ointment,500 mg,Abbott,B8990,306,20,2026-09-03,2025-06-19,220.21,Prime Medics,Cold Storage,Active
MED059,Losartan,Losartan,Ointment,500 mg,Lupin,B8032,86,30,2027-03-23,2025-03-01,337.44,MediSupply,B2,Active
MED060,Levocetirizine,Levocetirizine,Ointment,650 mg,Torrent,B7685,430,20,2027-07-10,2025-02-06,130.01,MediSupply,B1,Active
MED061,Amlodipine,Amlodipine,Tablet,250 mg,Dr. Reddy's,B1998,55,30,2028-01-22,2025-03-11,346.77,ABC Pharma,B1,Active
MED062,Vitamin C,Vitamin C,Ointment,250 mg,Abbott,B8152,28,30,2027-01-31,2025-03-19,172.95,LifeCare,A1,Active
MED063,Vitamin C,Vitamin C,Tablet,500 mg,Lupin,B3844,426,20,2026-02-24,2025-11-28,231.71,HealthPlus,C1,Active
MED064,Amlodipine,Amlodipine,Syrup,5 ml,Dr. Reddy's,B3078,376,30,2026-09-17,2025-06-26,343.92,MediSupply,A2,Active
MED065,Calcium,Calcium,Injection,5 ml,Mankind,B2169,265,20,2027-02-09,2025-11-15,293.37,Prime Medics,B2,Active
MED066,Levocetirizine,Levocetirizine,Syrup,5 ml,Lupin,B7001,199,20,2028-04-15,2025-01-24,191.52,MediSupply,C2,Active
MED067,Levocetirizine,Levocetirizine,Injection,100 IU,Cipla,B2334,469,50,2027-05-03,2025-11-23,277.26,Prime Medics,C1,Active
MED068,Losartan,Losartan,Capsule,500 mg,Torrent,B4190,272,20,2027-10-04,2025-07-03,338.0,MediSupply,A1,Active
MED069,Calcium,Calcium,Tablet,250 mg,Cipla,B1679,199,30,2026-12-21,2025-05-02,363.77,ABC Pharma,A2,Active
MED070,Salbutamol,Salbutamol,Syrup,100 IU,Dr. Reddy's,B4429,92,30,2027-05-24,2025-07-26,383.87,MediSupply,C1,Active
MED071,Insulin,Insulin,Ointment,500 mg,Lupin,B6613,150,30,2027-09-27,2025-09-20,427.67,HealthPlus,Cold Storage,Active
MED072,Atorvastatin,Atorvastatin,Tablet,500 mg,Sun Pharma,B3443,487,20,2028-02-19,2025-10-20,226.65,MediSupply,A2,Active
MED073,Levocetirizine,Levocetirizine,Tablet,100 IU,Alkem,B7815,498,20,2026-04-15,2025-01-12,442.0,MediSupply,A1,Active
MED074,Azithromycin,Azithromycin,Tablet,10 ml,Torrent,B2420,394,50,2028-06-16,2025-10-24,439.93,Prime Medics,B2,Active
MED075,Vitamin C,Vitamin C,Ointment,10 ml,Abbott,B6897,35,20,2026-12-21,2025-05-28,244.91,MediSupply,Cold Storage,Active
MED076,Paracetamol,Paracetamol,Injection,500 mg,Cipla,B4611,456,30,2026-05-04,2025-08-09,452.19,LifeCare,B1,Active
MED077,ORS,ORS,Ointment,500 mg,Cipla,B9156,292,50,2026-02-10,2025-08-03,153.06,ABC Pharma,A1,Active
MED078,Amlodipine,Amlodipine,Syrup,10 ml,Lupin,B1174,410,20,2026-06-25,2025-07-23,232.87,LifeCare,C1,Active
MED079,Insulin,Insulin,Syrup,500 mg,Sun Pharma,B6137,395,50,2027-08-05,2025-02-04,14.37,ABC Pharma,Cold Storage,Active
MED080,Metformin,Metformin,Tablet,650 mg,Mankind,B6176,29,30,2027-11-16,2025-10-10,295.15,ABC Pharma,C1,Active
MED081,Amlodipine,Amlodipine,Tablet,250 mg,Abbott,B4388,324,30,2026-06-16,2025-06-17,324.35,Prime Medics,C1,Active
MED082,Dolo,Dolo,Tablet,10 ml,Abbott,B1980,51,50,2026-08-31,2025-04-14,194.66,HealthPlus,B2,Active
MED083,Cefixime,Cefixime,Ointment,5 ml,Alkem,B3636,75,50,2028-05-11,2025-11-09,377.85,MediSupply,A1,Active
MED084,Diclofenac,Diclofenac,Injection,100 IU,Mankind,B7749,353,20,2026-11-07,2025-01-12,497.45,HealthPlus,C2,Active
MED085,Ibuprofen,Ibuprofen,Tablet,500 mg,Alkem,B7514,418,50,2026-10-09,2025-01-31,211.86,MediSupply,C1,Active
MED086,Amoxicillin,Amoxicillin,Ointment,500 mg,Abbott,B5482,126,20,2027-04-15,2025-08-07,157.42,ABC Pharma,C1,Active
MED087,ORS,ORS,Ointment,100 IU,Lupin,B6032,449,20,2027-04-11,2025-06-22,484.09,MediSupply,B2,Active
MED088,Cefixime,Cefixime,Injection,10 ml,Mankind,B1396,319,20,2027-05-08,2025-12-18,243.19,HealthPlus,A1,Active
MED089,Metformin,Metformin,Tablet,10 ml,Dr. Reddy's,B1989,281,20,2027-03-04,2025-06-10,225.65,Prime Medics,A1,Active
MED090,Cefixime,Cefixime,Injection,250 mg,Torrent,B4776,343,30,2027-06-16,2025-08-14,372.73,ABC Pharma,C1,Active
MED091,Dolo,Dolo,Capsule,650 mg,Alkem,B9012,325,50,2026-06-29,2025-02-28,341.24,Prime Medics,C1,Active
MED092,Levocetirizine,Levocetirizine,Syrup,10 ml,Dr. Reddy's,B8884,179,20,2026-09-17,2025-10-07,108.21,LifeCare,A1,Active
MED093,Calcium,Calcium,Injection,500 mg,Cipla,B2219,30,30,2026-06-07,2025-01-31,453.36,HealthPlus,Cold Storage,Active
MED094,Dolo,Dolo,Capsule,250 mg,Abbott,B4285,346,50,2026-05-29,2025-09-04,221.91,ABC Pharma,C1,Active
MED095,Diclofenac,Diclofenac,Syrup,500 mg,Cipla,B7422,129,50,2027-01-24,2025-05-17,161.74,ABC Pharma,A2,Active
MED096,Diclofenac,Diclofenac,Tablet,10 ml,Dr. Reddy's,B1125,310,30,2028-01-01,2025-01-07,461.0,HealthPlus,Cold Storage,Active
MED097,Amlodipine,Amlodipine,Ointment,650 mg,Dr. Reddy's,B1306,48,50,2028-01-07,2025-02-22,419.43,Prime Medics,C2,Active
MED098,Paracetamol,Paracetamol,Tablet,10 ml,Sun Pharma,B7954,118,20,2028-04-27,2025-09-22,249.55,HealthPlus,Cold Storage,Active
MED099,Omeprazole,Omeprazole,Injection,100 IU,Cipla,B6041,405,20,2027-03-06,2025-02-25,353.74,HealthPlus,C2,Active
MED100,Diclofenac,Diclofenac,Tablet,250 mg,Lupin,B6632,240,20,2026-03-10,2025-02-19,237.47,Prime Medics,B2,Active
MED101,Levocetirizine,Levocetirizine,Tablet,100 IU,Alkem,B5108,339,50,2027-08-17,2025-06-21,376.42,Prime Medics,A2,Active
MED102,Dolo,Dolo,Tablet,250 mg,Sun Pharma,B5519,471,30,2027-03-23,2025-12-25,473.25,HealthPlus,B1,Active
MED103,Cefixime,Cefixime,Tablet,5 ml,Alkem,B2298,175,20,2027-09-01,2025-03-01,79.0,HealthPlus,C1,Active
MED104,Azithromycin,Azithromycin,Syrup,5 ml,Dr. Reddy's,B9012,460,30,2026-08-16,2025-03-18,204.7,HealthPlus,Cold Storage,Active
MED105,Salbutamol,Salbutamol,Tablet,100 IU,Torrent,B2978,63,50,2027-06-16,2025-04-27,439.2,HealthPlus,A2,Active
MED106,Dolo,Dolo,Tablet,100 IU,Lupin,B5525,130,30,2027-05-09,2025-09-10,288.66,Prime Medics,C2,Active
MED107,Pantoprazole,Pantoprazole,Injection,250 mg,Mankind,B9543,84,50,2028-06-12,2025-11-04,41.54,LifeCare,A1,Active
MED108,Levocetirizine,Levocetirizine,Injection,650 mg,Torrent,B7235,496,50,2027-01-09,2025-12-29,79.07,HealthPlus,B1,Active
MED109,Insulin,Insulin,Injection,100 IU,Abbott,B7917,283,30,2026-08-11,2025-03-06,91.47,LifeCare,Cold Storage,Active
MED110,Metformin,Metformin,Injection,500 mg,Cipla,B4698,32,50,2028-03-16,2025-02-23,475.73,LifeCare,Cold Storage,Active
MED111,Paracetamol,Paracetamol,Ointment,650 mg,Lupin,B1809,113,30,2027-08-08,2025-01-02,130.96,ABC Pharma,C2,Active
MED112,Insulin,Insulin,Injection,5 ml,Alkem,B7439,477,50,2026-03-01,2025-09-15,14.8,LifeCare,B2,Active
MED113,Calcium,Calcium,Tablet,10 ml,Cipla,B5563,40,20,2026-05-29,2025-08-08,357.67,MediSupply,B1,Active
MED114,Diclofenac,Diclofenac,Ointment,100 IU,Dr. Reddy's,B2283,9,20,2027-08-20,2025-09-25,64.08,LifeCare,A2,Active
MED115,Omeprazole,Omeprazole,Ointment,250 mg,Torrent,B9132,397,30,2028-04-21,2025-06-03,221.18,HealthPlus,C2,Active
MED116,Paracetamol,Paracetamol,Ointment,10 ml,Torrent,B9024,160,30,2026-08-25,2025-07-05,137.64,HealthPlus,C2,Active
MED117,Dolo,Dolo,Tablet,650 mg,Torrent,B4442,300,20,2027-05-15,2025-08-01,26.83,Prime Medics,Cold Storage,Active
MED118,Vitamin C,Vitamin C,Tablet,5 ml,Alkem,B3893,425,30,2027-05-01,2025-10-04,330.58,MediSupply,Cold Storage,Active
MED119,Azithromycin,Azithromycin,Syrup,10 ml,Mankind,B6524,322,20,2028-06-17,2025-09-22,218.29,ABC Pharma,A2,Active
MED120,Atorvastatin,Atorvastatin,Injection,5 ml,Alkem,B6457,203,30,2027-10-22,2025-02-03,226.83,ABC Pharma,A2,Active
MED121,Calcium,Calcium,Injection,500 mg,Sun Pharma,B5511,372,30,2028-04-26,2025-01-18,393.94,LifeCare,C1,Active
MED122,ORS,ORS,Syrup,100 IU,Abbott,B5880,196,50,2028-04-08,2025-07-13,43.53,LifeCare,B1,Active
MED123,Amoxicillin,Amoxicillin,Ointment,100 IU,Dr. Reddy's,B6751,347,30,2026-08-20,2025-06-12,295.8,ABC Pharma,A2,Active
MED124,Salbutamol,Salbutamol,Capsule,10 ml,Cipla,B5404,500,50,2027-04-01,2025-11-17,249.62,LifeCare,C2,Active
MED125,Vitamin C,Vitamin C,Capsule,5 ml,Sun Pharma,B5667,108,30,2027-07-30,2025-02-28,159.57,Prime Medics,B1,Active
MED126,Pantoprazole,Pantoprazole,Injection,5 ml,Sun Pharma,B6053,183,20,2026-02-20,2025-10-18,195.24,Prime Medics,Cold Storage,Active
MED127,Paracetamol,Paracetamol,Tablet,250 mg,Sun Pharma,B4430,397,50,2028-06-10,2025-04-11,203.36,HealthPlus,A2,Active
MED128,Amoxicillin,Amoxicillin,Injection,500 mg,Dr. Reddy's,B5011,102,20,2027-07-29,2025-09-04,22.31,ABC Pharma,A1,Active
MED129,Cefixime,Cefixime,Syrup,5 ml,Cipla,B8530,283,30,2026-03-02,2025-09-20,14.84,Prime Medics,B1,Active
MED130,Amlodipine,Amlodipine,Tablet,5 ml,Dr. Reddy's,B1438,311,30,2027-04-26,2025-05-15,240.81,Prime Medics,C2,Active
MED131,Losartan,Losartan,Tablet,500 mg,Sun Pharma,B7968,468,30,2028-01-26,2025-08-16,197.09,HealthPlus,A2,Active
MED132,Paracetamol,Paracetamol,Tablet,500 mg,Cipla,B8188,382,50,2027-08-24,2025-10-29,218.83,HealthPlus,A2,Active
MED133,Amoxicillin,Amoxicillin,Capsule,10 ml,Cipla,B2375,157,50,2027-07-10,2025-12-29,225.19,MediSupply,Cold Storage,Active
MED134,Cetirizine,Cetirizine,Ointment,10 ml,Lupin,B1377,264,20,2026-04-27,2025-04-29,459.35,ABC Pharma,C2,Active
MED135,Amoxicillin,Amoxicillin,Tablet,500 mg,Cipla,B4927,19,20,2026-08-11,2025-01-11,413.14,ABC Pharma,C1,Active
MED136,Insulin,Insulin,Capsule,650 mg,Cipla,B2654,173,50,2026-10-09,2025-09-16,348.44,Prime Medics,B2,Active
MED137,Omeprazole,Omeprazole,Capsule,5 ml,Lupin,B7573,418,20,2027-12-31,2025-06-16,132.79,MediSupply,C1,Active
MED138,Omeprazole,Omeprazole,Ointment,10 ml,Torrent,B1416,328,30,2028-05-04,2025-12-10,35.57,Prime Medics,A1,Active
MED139,Amlodipine,Amlodipine,Injection,100 IU,Mankind,B6231,83,50,2026-08-23,2025-02-17,392.9,HealthPlus,A1,Active
MED140,Diclofenac,Diclofenac,Tablet,500 mg,Cipla,B9926,119,20,2027-08-30,2025-11-22,310.99,ABC Pharma,A2,Active
MED141,Ibuprofen,Ibuprofen,Ointment,650 mg,Dr. Reddy's,B2839,289,50,2027-08-18,2025-09-04,364.62,HealthPlus,C1,Active
MED142,Ibuprofen,Ibuprofen,Syrup,10 ml,Lupin,B5456,389,50,2027-11-20,2025-06-11,305.07,ABC Pharma,C2,Active
MED143,Pantoprazole,Pantoprazole,Tablet,250 mg,Lupin,B8840,101,50,2028-04-21,2025-11-15,34.05,ABC Pharma,B2,Active
MED144,Cefixime,Cefixime,Capsule,100 IU,Torrent,B4760,160,30,2026-05-19,2025-06-24,174.56,Prime Medics,C1,Active
MED145,Insulin,Insulin,Ointment,650 mg,Sun Pharma,B6910,275,20,2026-12-27,2025-03-07,303.42,ABC Pharma,B1,Active
MED146,Diclofenac,Diclofenac,Ointment,250 mg,Mankind,B1585,332,50,2026-07-03,2025-05-07,51.19,HealthPlus,B2,Active
MED147,Levocetirizine,Levocetirizine,Ointment,100 IU,Cipla,B6574,1,20,2026-08-24,2025-01-24,55.99,MediSupply,A1,Active
MED148,Azithromycin,Azithromycin,Injection,500 mg,Alkem,B5802,265,30,2026-08-19,2025-05-17,41.25,ABC Pharma,B1,Active
MED149,Azithromycin,Azithromycin,Syrup,650 mg,Lupin,B3127,152,50,2028-02-21,2025-01-01,335.21,LifeCare,Cold Storage,Active
MED150,Atorvastatin,Atorvastatin,Injection,100 IU,Alkem,B6878,442,20,2028-05-16,2025-07-23,128.61,ABC Pharma,B1,Active
MED151,Azithromycin,Azithromycin,Syrup,5 ml,Abbott,B6054,488,50,2027-10-03,2025-04-29,237.87,MediSupply,A2,Active
MED152,Omeprazole,Omeprazole,Ointment,250 mg,Lupin,B7699,245,20,2027-10-18,2025-10-07,124.79,MediSupply,C1,Active
MED153,Ibuprofen,Ibuprofen,Syrup,100 IU,Torrent,B4491,439,30,2027-11-23,2025-06-05,163.08,ABC Pharma,C1,Active
MED154,Diclofenac,Diclofenac,Tablet,5 ml,Torrent,B8311,375,20,2027-06-01,2025-06-11,208.84,HealthPlus,C2,Active
MED155,Losartan,Losartan,Ointment,250 mg,Abbott,B8809,126,50,2027-03-14,2025-04-30,305.15,LifeCare,A2,Active
MED156,Cefixime,Cefixime,Syrup,650 mg,Alkem,B8318,370,50,2026-05-15,2025-04-09,315.66,HealthPlus,A1,Active
MED157,Paracetamol,Paracetamol,Injection,500 mg,Abbott,B1060,44,50,2026-02-07,2025-12-14,151.6,ABC Pharma,A2,Active
MED158,Omeprazole,Omeprazole,Syrup,5 ml,Sun Pharma,B8938,89,50,2026-05-07,2025-09-20,449.39,HealthPlus,Cold Storage,Active
MED159,Azithromycin,Azithromycin,Ointment,10 ml,Lupin,B6557,181,50,2027-07-03,2025-09-02,77.08,HealthPlus,A2,Active
MED160,Amoxicillin,Amoxicillin,Ointment,5 ml,Cipla,B4604,244,20,2027-07-06,2025-11-11,492.77,LifeCare,B1,Active
MED161,Atorvastatin,Atorvastatin,Capsule,100 IU,Torrent,B8271,64,20,2028-02-20,2025-11-26,448.45,ABC Pharma,B1,Active
MED162,Salbutamol,Salbutamol,Capsule,10 ml,Cipla,B4959,175,50,2026-06-28,2025-04-11,332.83,LifeCare,A1,Active
MED163,Salbutamol,Salbutamol,Syrup,5 ml,Alkem,B8798,110,30,2027-06-20,2025-05-30,10.48,MediSupply,C2,Active
MED164,Omeprazole,Omeprazole,Capsule,10 ml,Cipla,B6203,183,50,2026-03-12,2025-12-31,410.96,LifeCare,B2,Active
MED165,ORS,ORS,Capsule,5 ml,Mankind,B6535,173,30,2026-07-31,2025-12-11,293.53,ABC Pharma,C2,Active
MED166,Paracetamol,Paracetamol,Injection,10 ml,Dr. Reddy's,B3213,219,20,2026-10-19,2025-08-28,291.15,ABC Pharma,C2,Active
MED167,Metformin,Metformin,Capsule,10 ml,Lupin,B3219,361,50,2027-11-22,2025-06-09,330.73,LifeCare,A2,Active
MED168,Salbutamol,Salbutamol,Injection,5 ml,Lupin,B5553,8,30,2027-07-06,2025-04-05,39.96,MediSupply,B1,Active
MED169,Ibuprofen,Ibuprofen,Capsule,5 ml,Torrent,B3106,181,30,2026-11-14,2025-08-13,88.45,ABC Pharma,C1,Active
MED170,Dolo,Dolo,Ointment,650 mg,Dr. Reddy's,B9775,449,50,2027-03-11,2025-10-12,237.39,HealthPlus,B2,Active
MED171,Amlodipine,Amlodipine,Injection,500 mg,Torrent,B7284,484,20,2027-03-07,2025-05-31,491.07,MediSupply,B2,Active
MED172,Losartan,Losartan,Tablet,500 mg,Mankind,B2391,8,20,2028-03-10,2025-11-16,9.7,MediSupply,C1,Active
MED173,Salbutamol,Salbutamol,Capsule,10 ml,Cipla,B9559,487,20,2027-07-01,2025-04-09,416.52,LifeCare,Cold Storage,Active
MED174,Amoxicillin,Amoxicillin,Tablet,10 ml,Cipla,B1340,22,50,2028-03-14,2025-03-10,193.76,Prime Medics,A1,Active
MED175,Azithromycin,Azithromycin,Syrup,250 mg,Dr. Reddy's,B9168,205,20,2026-07-21,2025-01-16,246.38,Prime Medics,B1,Active
MED176,Diclofenac,Diclofenac,Injection,100 IU,Torrent,B9821,310,50,2026-02-07,2025-12-01,434.21,HealthPlus,C1,Active
MED177,Losartan,Losartan,Capsule,5 ml,Cipla,B1334,317,50,2027-03-01,2025-06-29,494.73,Prime Medics,A1,Active
MED178,Dolo,Dolo,Tablet,10 ml,Mankind,B8704,325,50,2026-12-14,2025-10-25,71.58,LifeCare,Cold Storage,Active
MED179,Amoxicillin,Amoxicillin,Injection,250 mg,Abbott,B9730,375,50,2027-06-22,2026-01-01,253.14,MediSupply,A1,Active
MED180,ORS,ORS,Syrup,5 ml,Lupin,B2206,411,20,2027-11-01,2025-06-07,364.53,Prime Medics,A1,Active
MED181,Atorvastatin,Atorvastatin,Ointment,650 mg,Lupin,B1488,446,50,2027-09-12,2025-08-09,91.76,LifeCare,Cold Storage,Active
MED182,Insulin,Insulin,Capsule,650 mg,Mankind,B9933,286,20,2026-11-02,2025-04-27,100.58,HealthPlus,A1,Active
MED183,Salbutamol,Salbutamol,Syrup,5 ml,Mankind,B8852,261,30,2026-10-02,2025-01-07,183.37,HealthPlus,C1,Active
MED184,Levocetirizine,Levocetirizine,Syrup,5 ml,Abbott,B1149,135,20,2026-10-26,2025-07-24,131.97,Prime Medics,A2,Active
MED185,Paracetamol,Paracetamol,Ointment,100 IU,Cipla,B6934,403,20,2026-11-02,2025-06-12,466.78,Prime Medics,Cold Storage,Active
MED186,Amoxicillin,Amoxicillin,Ointment,250 mg,Dr. Reddy's,B4098,302,30,2026-10-27,2025-06-05,52.12,LifeCare,C2,Active
MED187,Losartan,Losartan,Capsule,650 mg,Alkem,B8974,4,20,2026-11-17,2025-02-05,395.76,HealthPlus,A2,Active
MED188,Dolo,Dolo,Capsule,10 ml,Mankind,B6541,370,20,2027-07-17,2025-08-07,100.37,LifeCare,B1,Active
MED189,Calcium,Calcium,Capsule,10 ml,Alkem,B9976,183,50,2026-05-29,2025-03-16,276.15,ABC Pharma,B2,Active
MED190,Diclofenac,Diclofenac,Capsule,10 ml,Abbott,B8850,384,50,2028-04-29,2025-11-20,114.49,LifeCare,A1,Active
